"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"73","BNIPL",297.255009098772,-2.46635058979328,0.48278200911658,-5.10862157913949,3.24517561166131e-07,8.53481185866924e-05
"74","KIAA0087",60.8148668616563,4.15364098039995,0.81481690796868,5.09763719895661,3.43919142906336e-07,8.92284273602533e-05
"75","DYTN",20.4067644045707,7.28300222564751,1.43020574784011,5.09227587474477,3.53790812916595e-07,8.99634080953602e-05
"76","PCSK6",1659.16386798988,1.92868833582728,0.378840498453803,5.09102998148037,3.56123705153778e-07,8.99634080953602e-05
"77","MMP9",668.210730133212,3.00847051434822,0.591821590069646,5.08340784592564,3.70722483934884e-07,9.24350775203355e-05
"78","EBF2",161.980790464552,2.77026598787004,0.546136423928546,5.07247981730017,3.92664792603114e-07,9.54788049056257e-05
"79","PTGS1",783.699647175209,-2.00840088999442,0.395948620720401,-5.07237753812673,3.92875961640941e-07,9.54788049056257e-05
"80","UCN",68.4152427898972,2.37415918902159,0.468686336863317,5.06556091417269,4.07199537421351e-07,9.77227989869064e-05
"81","GRB14",54.5285984668741,2.05343403905407,0.406935315505681,5.04609445484563,4.50932544913331e-07,0.000106882147281371
"82","MAGI2",937.563302063371,-1.03676361959709,0.205798172371654,-5.03776883754237,4.70989772307262e-07,0.000110274788274721
"83","MGAT5B",71.7397606438574,2.588158704483,0.514055774346852,5.03478189262917,4.78393211017701e-07,0.000110658689859384
"84","C2CD4C",97.5492540815368,2.32749679586881,0.463190075290803,5.02492803717252,5.03621345624182e-07,0.000115107454936175
"85","CERS1",116.736833124819,2.73817038505261,0.546220764388134,5.01293719238201,5.3605398310481e-07,0.000121078828489756
"86","CEACAM6",477.988366651537,-3.05648859416831,0.610390225095109,-5.00743371781888,5.51605374388892e-07,0.00012314269282433
"87","LOC100128675",44.5552123071327,2.40212023789555,0.480471088527755,4.99951047055933,5.7476051247983e-07,0.000126837092863221
"88","MSMO1",4502.21856156622,-1.38673991421261,0.27753240745736,-4.99667742198961,5.83265128201381e-07,0.000127251218140208
"89","PCDH7",1507.50722409303,-1.7323243522828,0.347094716206656,-4.9909268893952,6.00902405294453e-07,0.000129626126733126
"90","KCNG3",237.424510071329,3.54552759163617,0.714830347218574,4.95995673019749,7.05088833362225e-07,0.000150411116796904
"91","CPLX1",301.707162985105,1.62748097458448,0.328714336139885,4.95104957604253,7.3814295005128e-07,0.000155731939538841
"92","FAM83C",23.2412420672952,-3.86138890137602,0.782558220704869,-4.93431517197274,8.043247020986e-07,0.00016785032560425
"93","PDE4A",741.818910028813,-1.25648578460286,0.255265426700069,-4.92227169517634,8.55453353253704e-07,0.000176600526119547
"94","HSD17B13",807.189302449779,-4.18301240104203,0.853711152339605,-4.89979823922697,9.5935121303577e-07,0.000194478196490329
"95","LOC100287718",18.4770865548643,3.36588722220098,0.687028943491611,4.89919275466752,9.62312030136008e-07,0.000194478196490329
"96","CDK5R1",236.001342427036,1.7640437572354,0.362098719818621,4.87172050240616,1.10630600292794e-06,0.000221249676564724
"97","LRFN1",509.603611134622,1.38297858786496,0.284515030561242,4.86082786254511,1.16895868172892e-06,0.000231369461139316
"98","SDK1",4367.43150269566,2.59059984485133,0.533487771060801,4.85596856269098,1.19799708524074e-06,0.000234697408566704
"99","EMP2",7493.98205080089,-0.996942840931314,0.206920267736488,-4.81800478917279,1.45000891271136e-06,0.000281199203183287
"100","FOXQ1",635.249484673018,-2.73871303107937,0.569736087422391,-4.80698535960728,1.53223206655483e-06,0.000293193220923498
"101","LOC728342",40.9602336913426,1.93321501652785,0.402278563582211,4.80566252229042,1.54239883917253e-06,0.000293193220923498
"102","HPN",12824.209848259,2.5353526990247,0.529252084803898,4.79044442491732,1.6641231157858e-06,0.000313230389215408
"103","RCC1",1863.71398726943,1.09943669704232,0.229797778130768,4.78436608911283,1.71527806992042e-06,0.000319724501596138
"104","KLHL35",109.087731540045,2.0536548758423,0.430096706653362,4.77486770782797,1.79825427375194e-06,0.000331968113478495
"105","SHOX2",15.8205658922832,2.80443206422249,0.58786027185998,4.770575931844,1.83699919817991e-06,0.000335890929579581
"106","ANXA2P2",10595.476065382,-1.21365649505966,0.254794272168155,-4.76328013472256,1.90471126427816e-06,0.000344986335498833
"107","CLDN10",160.401445600928,-3.75852041629532,0.789521787274656,-4.76050246728381,1.93111573435503e-06,0.000346499915737216
"108","ERG",5894.56164601039,3.95610743078315,0.83171659549753,4.75655704382888,1.96922611924236e-06,0.000350066409845686
"109","SLC22A10",22.4511720190198,2.96065401899252,0.622874070855406,4.75321442571303,2.00207817939268e-06,0.0003526412749189
"110","SDS",172.461602526311,2.18054762499037,0.459274886327825,4.74780505075108,2.05636099287351e-06,0.000358909770019805
"111","TMPRSS11E",402.879953642576,-3.22986258247757,0.681708286311331,-4.73789544198458,2.15949176257026e-06,0.000373514255401679
"112","ADAM2",196.323557529339,4.01328116039433,0.848848938952092,4.72790973308955,2.26842984019184e-06,0.00038885343305217
"113","DNAH14",285.745217158111,1.13768492847865,0.24092830508956,4.72208912130825,2.33434344649213e-06,0.000396611148930995
"114","EPHA2",1284.97296398767,-2.29387963994288,0.486016644803292,-4.71975530976165,2.3612850998694e-06,0.000397669409056076
"115","PAX1",44.4211298456901,4.66186988861265,0.988504865597013,4.71608188372152,2.40429704917223e-06,0.000401392165626589
"116","MTHFD1L",509.180575144471,1.38462187555851,0.295114968300705,4.69180497191068,2.70805216460303e-06,0.000448205978519083
"117","CAMKK2",22382.721795229,1.85655775010263,0.396789420055503,4.67894973067308,2.88348120261564e-06,0.000473162013752288
"118","TDRD1",893.857380041601,4.28165728746264,0.916037937009694,4.67410476627163,2.95238601092892e-06,0.000480363212066307
"119","RDM1",13.598741425718,2.98029402534648,0.639427989176827,4.66087515059075,3.1486768539531e-06,0.000507995352260886
"120","BICD1",1497.51299542527,2.41893200485581,0.519230325537466,4.65868784214775,3.18231340498486e-06,0.000509143625519203
"121","APOE",4319.60473118737,2.01028751956119,0.432482163500643,4.64825532523539,3.34754391590164e-06,0.00053115285654046
"122","PLA1A",2233.14505139798,2.65484266373715,0.572240738442247,4.63938074553057,3.49454716575103e-06,0.000549932877338148
"123","ITGB8",1697.29809997294,-1.49926384907761,0.323735299264239,-4.63114109732558,3.63655935579988e-06,0.000567628480260177
"124","PCDHB8",290.720500541292,3.35571258000662,0.724950453214236,4.62888541572502,3.67639110645543e-06,0.000569218006877725
"125","UPK1A",510.454925090369,-2.92675070053776,0.632637773123036,-4.62626612712321,3.72316845291652e-06,0.000571848889020354
"126","KCNJ15",144.051018649729,-2.36584700156939,0.511945727624775,-4.62128478451413,3.81370829497e-06,0.000581106234564516
"127","HSPA1L",324.777374056926,-1.62823939230815,0.352749386535144,-4.61585322174878,3.9148357116902e-06,0.000587853044483799
"128","KCNQ5",153.58590764981,-1.98868185658281,0.43085904282598,-4.6156205601237,3.91922442283068e-06,0.000587853044483799
"129","JAKMIP1",248.417020107761,-2.19528521348988,0.476140363001197,-4.61058415558935,4.01539047420979e-06,0.000588484593239341
"130","NLE1",1359.17789726641,0.856412271728217,0.185675521513531,4.61241344441736,3.98020305138961e-06,0.000588484593239341
"131","PRRG4",1569.67606114683,-1.43954904184033,0.312143516441811,-4.61181785305056,3.99162701994456e-06,0.000588484593239341
"132","RPGRIP1",52.8084584140605,1.56498835248393,0.340121102226097,4.60126802553874,4.19926655210637e-06,0.000610770594953714
"133","LOC285577",21.4189254501418,3.84733046347908,0.836562873850081,4.59897347078369,4.24577839646229e-06,0.000612892476944959
"134","EFHD1",876.906084712473,-1.9954101188809,0.435284640179198,-4.58415008179344,4.55836749997575e-06,0.00064828373551486
"135","SNX31",90.7563988109264,-2.43459257056668,0.531089804108027,-4.58414481267554,4.55848243629908e-06,0.00064828373551486
"136","ETS2",5777.76357290716,-1.51575252640171,0.33106084323299,-4.57847117043368,4.68386703962859e-06,0.000656390972947659
"137","LMX1B",110.145725141603,2.74390352477925,0.59922095406615,4.5791181135437,4.66940478032599e-06,0.000656390972947659
"138","PLLP",385.495139094365,-1.46749040095044,0.320739149410146,-4.57533919276527,4.75449043619811e-06,0.000661459868728751
"139","SOWAHA",149.865745549555,-1.22052538467003,0.26695974362739,-4.5719454479758,4.83216755214892e-06,0.000667430106717317
"140","CEACAM7",21.3116587175042,-3.77357597110489,0.825742500189507,-4.56991855238026,4.87913798402833e-06,0.000669104072538285
"141","CPNE7",304.901984668812,2.9511480434903,0.646616491417279,4.56398511739449,5.01916384170856e-06,0.000683425011325976
"142","MMP10",286.745987669303,2.69176082171332,0.590414756181883,4.55910153587709,5.13729304828019e-06,0.000689726498139379
"143","PRDM12",8.42955845886123,2.52836064631403,0.554569696543058,4.55913956726217,5.13636290294659e-06,0.000689726498139379
"144","GPD1L",6515.64473705929,-1.13815478381693,0.249918414208987,-4.55410533641262,5.26089914118547e-06,0.000701416684802915
"145","AOX1",1779.71435360807,-2.17975764738408,0.478995376949717,-4.5506861908876,5.34712463553492e-06,0.000707996178466448
"146","ARHGEF38",2774.23451545442,1.30428376455852,0.287223299639749,4.54100961236232,5.59854787553145e-06,0.000736209045632386
"147","FLJ12825",19.8922582329979,2.46929431856037,0.544393662845529,4.53586161465115,5.73687893331655e-06,0.000749267609800982
"148","DSC3",1703.77944270417,-2.46390045536724,0.544091875083575,-4.52846397492844,5.94140081179193e-06,0.000768653979603599
"149","RAPGEFL1",808.725207318795,-2.02979752342081,0.448315209529721,-4.52761244828176,5.96538585139519e-06,0.000768653979603599
